Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa)
0,7475;0,7475;1;1;1;1;1;-67,478650527248;-0,0136345624923706;-40,9791728854179;161,775544285774;-0,115371149876211;150,14915608373
0,755;0,755;1;1;1;1;1;-67,4784851243522;-0,0109140574932098;-40,9467503428459;163,349330425262;-0,0923511380369761;151,609838300833
0,76;0,76;1;1;1;1;1;-67,4779039790424;-0,010606050491333;-40,9246999025345;164,431229233742;-0,0897448848479692;152,61398385187
0,765;0,765;1;1;1;1;1;-67,4779933860131;-0,00589251518249512;-40,9013378620148;165,523037314415;-0,0498605109366654;153,627326521445
0,7725;0,7725;1;1;1;1;1;-67,4783912470329;-0,00955134630203247;-40,8656778931618;167,170897126198;-0,0808203274837745;155,1567589284
0,78;0,78;1;1;1;1;1;-67,4776536395243;-0,00704973936080933;-40,8370640873909;168,719738721848;-0,0596525584769786;156,594289301244
0,785;0,785;1;1;1;1;1;-67,4774033000062;-0,00689595937728882;-40,8101132512093;169,808596372604;-0,058351323212801;157,604893580638
0,79;0,79;1;1;1;1;1;-67,4780738522868;-0,0110839307308197;-40,7899752259254;170,919924974442;-0,0937885490846142;158,63635388222
0,7975;0,7975;1;1;1;1;1;-67,4779486825277;-0,0111743807792664;-40,7559916377068;172,446429729462;-0,0945539074231372;160,053152705157
0,8025;0,8025;1;1;1;1;1;-67,4772781302472;-0,0068095326423645;-40,7326483726501;173,551231622696;-0,057620008820143;161,078555355731
0,81;0,81;1;1;1;1;1;-67,4776894023126;-0,011114627122879;-40,7001855969429;175,102770328522;-0,0940482917826961;162,518589004448
0,8175;0,8175;1;1;1;1;1;-67,4773988296577;-0,00958085060119629;-40,6662744283676;176,718980073929;-0,0810699830867853;164,018645953096
0,825;0,825;1;1;1;1;1;-67,4772066046706;-0,00804021954536438;-40,6296998262405;178,242027759552;-0,0680336735942154;165,432236157235
0,8325;0,8325;1;1;1;1;1;-67,4772066046706;-0,0141125917434692;-40,5966067314148;179,778173565865;-0,11941607499974;166,857983154148
0,84;0,84;1;1;1;1;1;-67,4768221546964;-0,00852346420288086;-40,5622959136963;181,31759762764;-0,0721227297586805;168,286772806818
0,8475;0,8475;1;1;1;1;1;-67,4767595698169;-0,00906586647033691;-40,5272287130356;182,804509997368;-0,076712358016051;169,666824646364
0,855;0,855;1;1;1;1;1;-67,4763706494942;-0,00680223107337952;-40,4952353239059;184,310212731361;-0,0575582253628323;171,064316435498
0,8625;0,8625;1;1;1;1;1;-67,476294653569;-0,0113651156425476;-40,4641243815422;185,817867517471;-0,0961678426345203;172,463619987833
0,87;0,87;1;1;1;1;1;-67,4761605431129;-0,0116012990474701;-40,4265761375427;187,330886721611;-0,0981663483454907;173,867902431406
0,8775;0,8775;1;1;1;1;1;-67,4756553937283;-0,00791668891906738;-40,3925442695618;188,835561275482;-0,0669883983674681;175,264439933053
0,885;0,885;1;1;1;1;1;-67,4760711361422;-0,0126762688159943;-40,3551971912384;190,224856138229;-0,107262386325895;176,553889782311
0,8925;0,8925;1;1;1;1;1;-67,4755525757119;-0,00994592905044556;-40,3222864866257;191,697344183922;-0,0841591559523232;177,920553936527
0,9;0,9;1;1;1;1;1;-67,4750608373728;-0,0110751390457153;-40,2922376990318;193,020582199097;-0,0937141567584645;179,148694272284
0,9075;0,9075;1;1;1;1;1;-67,4755928088487;-0,0112417340278625;-40,2573582530022;194,485187530518;-0,0951238282946569;180,50804222243
0,915;0,915;1;1;1;1;1;-67,4752441216629;-0,0104887783527374;-40,2252843976021;195,851936936378;-0,0887525668703455;181,776566898233
0,9225;0,9225;1;1;1;1;1;-67,4749446083109;-0,0109699368476868;-40,1905310153961;197,252050042152;-0,092823970618436;183,076057511489
0,93;0,93;1;1;1;1;1;-67,4748507309916;-0,0108171999454498;-40,1531249284744;198,553770780563;-0,0915315615624457;184,284226961278
0,9375;0,9375;1;1;1;1;1;-67,4746942687928;-0,015639066696167;-40,1182508468628;199,900895357132;-0,13233260023834;185,5345371933
0,945;0,945;1;1;1;1;1;-67,4748507309916;-0,0137299299240112;-40,0857371091843;201,154723763466;-0,116178117481902;186,698256208532
0,9525;0,9525;1;1;1;1;1;-67,4749714304021;-0,0154142081737518;-40,0498732924461;202,38995552063;-0,130429921930545;187,84471506747
0,96;0,96;1;1;1;1;1;-67,473746554903;-0,00949770212173462;-40,022654235363;203,595131635666;-0,080366408205573;188,963278305219
0,9675;0,9675;1;1;1;1;1;-67,4737152624632;-0,0149489939212799;-39,9875816702843;204,80751991272;-0,126493433079031;190,088535385633
0,975;0,975;1;1;1;1;1;-67,4730581212283;-0,0161857903003693;-39,9515998363495;206,006288528442;-0,136958794215343;191,201151614403
0,9825;0,9825;1;1;1;1;1;-67,4738627839649;-0,00862777233123779;-39,9204298853874;207,138448953629;-0,0730053505774056;192,251946610295
0,9925;0,9925;1;1;1;1;1;-67,4730849433195;-0,0206607580184937;-39,8736709356308;208,545014262199;-0,174824488225534;193,55742572329
1,0025;1,0025;1;1;1;1;1;-67,4730983543651;-0,0157070159912109;-39,8266625404358;209,815248847008;-0,132907564657395;194,73637184756
1,015;1,015;1;1;1;1;1;-67,472423331736;-0,0134845077991486;-39,7729995846748;211,151108145714;-0,114101436784131;195,976226407981
1,0275;1,0275;1;1;1;1;1;-67,4724054503419;-0,0141790509223938;-39,7172740101814;212,271302938461;-0,119978430549956;197,01591571036
1,05;1,05;1;1;1;1;1;-67,471815364335;-0,0132705271244049;-39,6133169531822;212,516859173775;-0,11229080321886;197,243824456803
1,0725;1,0725;1;1;1;1;1;-67,4715247916801;-0,0146932899951935;-39,5112481713295;213,122144341469;-0,124329751186271;197,805609351551
1,0975;1,0975;1;1;1;1;1;-67,4707290696405;-0,00511497259140015;-39,4055369496346;213,226020336151;-0,0432812031765116;197,902020048283
1,12;1,12;1;1;1;1;1;-67,4701792167705;-0,00954613089561462;-39,2987850308418;213,485181331635;-0,0807761964428382;198,142555816118
1,145;1,145;1;1;1;1;1;-67,4694639610046;-0,00973641872406006;-39,1867303848267;213,351726531982;-0,0823863489935696;198,018692066306
1,1675;1,1675;1;1;1;1;1;-67,4696070121577;-0,00633180141448975;-39,0845516324043;213,442474603653;-0,053577605470382;198,102918309758
1,1925;1,1925;1;1;1;1;1;-67,4682837889908;-0,0104354321956635;-38,9785480499268;213,96891772747;-0,0883011693659118;198,591527333552
1,2125;1,2125;1;1;1;1;1;-67,4684223697954;-0,0053463876247406;-38,8863685727119;215,324103832245;-0,0452393605071975;199,849319732686
